Where is the Help Desk?,2nd floor room 201 (two rights after you get out of the elevators).,<document url>
What time does the Help Desk open?,Our hours are from 11am to 2pm.,<document url>
How long does it take to fix a laptop?,Laptop repairs typically take 2 hours.,<document url>
How long does it take to fix a screen?,Laptop screen repairs typically take 4 hours.,<document url>
How long does it take to fix a battery?,Laptop battery repairs typically about an hour.,<document url>
How long does it take to fix an audio issue?,Laptop audio repairs typically take 15-30 minutes.,<document url>
Is there a cafe nearby?,There is on the 3rd floor and it's open from 8 AM to 4 PM daily.,<document url>
What do I need to bring with me for a laptop repair?,"For a laptop repair, please bring your employee badge, laptop, and VPN fob.",<document url>
What do I need to bring with me for a screen repair?,"For a laptop screen repair, please bring your employee badge, laptop, and VPN fob.",<document url>
What do I need to bring with me for a battery repair?,"For a laptop battery repair, please bring your employee badge, laptop, charger cable and adapter, and VPN fob.",<document url>
What do I need to bring with me for an audio repair?,"For a laptop audio repair, please bring your employee badge, laptop, headphones/earpods, and VPN fob.",<document url>
What do I need to bring with me for a new laptop?,"For a new laptop, please bring your employee badge and VPN fob.",<document url>
How do I access my documents while my laptop is being repaired?,You can use Amazon Workdocs to access your documents.,<document url>
What is physical activity?,"Physical activity is simply any bodily movement performed by the muscles that expend energy. This includes all the movement one does throughout the day, whether it be intentional, part of one's job/occupation or simply for transporting one's self from one place to another. All activity and steps count toward your health.",<document url>
What is exercise?,"Exercise is a subset of physical activity that is planned and structured with the purpose of improving or maintaining physical fitness or health. In general, exercises are divided into activities that are predominantly aerobic (like running) or resistance (like weight lifting), although most sports and physical activities have components of both.",<document url>
What is fitness?,"Fitness is the ability to perform activity at a moderate to vigorous level of intensity without tiring easily. Metabolic Equivalent of Tasks, or METs, are commonly used as the unit attributed to different activities to describe the intensity and the amount of energy spent in that activity. The more fit you are, the more physical activity you can do and then the more oxygen the body uses to meet the energy demands. METs can be measured during an exercise (treadmill or bicycle) stress test, and they are commonly performed at a doctor's office to investigate cardiac or pulmonary disease. Fitness also depends on your age, sex, body size and genetic background. But it's clear that regular physical activity improves your fitness level.",<document url>
What examples of exercise machines for women?,"Here are 9 gym machines that are women friendly: Smith machine, Water rower, Glute machine, Hack squat, Total Gym Core Trainer, Treadmill, Stationary bike, Pull-up assist and FreeMotion Dual Cable Cross",https://health.usnews.com/wellness/fitness/slideshows/9-useful-gym-machines-for-women
Knee exercise,"Using an eliptical machine, riding a bike, going for a run, taking yoga lessons, doing step-ups, lunge or squats can greatly improve the health of your knee",https://health.usnews.com/wellness/slideshows/7-exercises-you-can-do-now-to-save-your-knees-later
How much exercise do I need?,"Several groups, including the Centers for Disease Control and Prevention and the American Heart Association, released guidelines recommending that adults should engage in moderate-intensity exercise lasting at least 30 minutes on at least five days of the week. The American Heart Association specifically recommends at least 150 minutes per week of moderate-intensity activities, or 75 minutes a week of vigorous activity, or any combination in which one minute of vigorous activity counts towards two minutes of moderate-intensity activity. <br> This generally can be achieved by brisk walking for 30 minutes or running for 15 minutes on most days of the week, or swimming for 50 minutes at a leisurely pace three days a week.",<document url>
Do I have to exercise every day?,"While it is generally advised to spread activity throughout the week, even if you can only find time to be active on weekends, any level of activity is beneficial.",<document url>
Is there such a thing as too much exercise?,"Although there have been suggestions about the adverse health effects of strenuous exercise, this remains a topic of debate among physicians and scientists who study this field. What we know today is that people who perform strenuous exercise may not get additional incremental benefits compared with those who exercise at moderate amounts regularly.",<document url>
Why is physical activity beneficial?,"Many parts of your body, including your brain, heart, bones and joints, feel the positive effects of exercise. Some of the best-known effects of exercise are on the heart and the cardiovascular system. The hearts of athletes grow and beat stronger than people who aren't athletic. This is caused by the heart cells increasing in size, increasing numbers of cells in the heart (because the stem cells become active and make more cells), and because more arteries grow to deliver more oxygen and nutrients to the heart.",<document url>
Is one type of exercise better than another?,Probably not. The best exercises are the ones you enjoy and are willing to do consistently—something you look forward to that's seen as fun and not a chore. Even better if you switch up the type of exercise to break monotony! There are so many options for fitness. We recommend engaging in complimentary activities such as combining cardio with strength training.,<document url>
Fun facts about exercising,"<ul><li>Humans who perform more exercise have stronger bones than the ones who barely exercise, so exercising is good to increase your bone strength and decrease the risk of fractures.</li> <li>Exercising helps the body release many hormones, including one likely associated with learning and cognitive abilities, possibly making you feel sharper and smarter.</li> <li>Exercise in older mothers can decrease the risk of their babies having certain heart defects at birth, suggesting that the more exercise women do, especially if they're older, may help decrease the risk of birth defects in their babies.</li><li>Exercising helps the body release many hormones, including one likely associated with learning and cognitive abilities, possibly making you feel sharper and smarter.</li> <li>Exercising also decreases your risk of dying from cancer.</li></ul>",<document url>
